t,price,production,soc,action,reward,cumulative_profit,total_soc,energy_charged,energy_discharged
728,120.227,22.78098,0.0,1,2.7388887797709565,491.3663052359403,3.3892684052135724,0.0,0.0
729,122.515,14.985116,0.0,1,1.835901491290289,493.2022067272306,3.3892684052135724,0.0,0.0
730,124.803,14.230332,0.0,1,1.7759881436157712,494.9781948708464,3.3892684052135724,0.0,0.0
731,127.09,12.498415,0.0,2,1.5884235742607036,496.5666184451071,3.3892684052135724,0.0,0.0
732,128.185,9.976716,0.0,2,1.278865375047307,497.8454838201544,3.3892684052135724,0.0,0.0
733,129.28,6.6286974,0.0,2,0.856957997480125,498.70244181763456,3.3892684052135724,0.0,0.0
734,130.375,2.36596,0.0,2,0.3084620285080735,499.01090384614264,3.3892684052135724,0.0,0.0
735,131.47,1.3665297,0.0,2,0.17965766698344346,499.19056151312606,3.3892684052135724,0.0,0.0
804,149.632,0.44807792,0.0,2,0.06704679273686315,499.2576083058629,3.3892684052135724,0.0,0.0
805,148.805,2.338408,0.0,2,0.347966793388899,499.6055750992518,3.3892684052135724,0.0,0.0
806,147.978,2.6105618,0.0,2,0.3863057350149215,499.9918808342667,3.3892684052135724,0.0,0.0
807,147.15,3.6757398,0.0,2,0.5408851014429464,500.5327659357096,3.3892684052135724,0.0,0.0
808,144.567,9.483074,0.0,2,1.3709396057618557,501.9037055414715,3.3892684052135724,0.0,0.0
809,141.985,10.507493,0.0,2,1.4919063459918263,503.3956118874633,3.3892684052135724,0.0,0.0
810,139.403,11.968224,0.0,2,1.668406328939078,505.06401821640236,3.3892684052135724,0.0,0.0
811,136.82,13.254469,0.0,2,1.813476483056272,506.8774946994586,3.3892684052135724,0.0,0.0
812,139.403,10.927748,0.0,2,1.5233608161401033,508.4008555155987,3.3892684052135724,0.0,0.0
813,141.985,12.569319,0.0,2,1.7846547003209485,510.1855102159197,3.3892684052135724,0.0,0.0
814,144.567,11.569806,0.0,2,1.6726121872629567,511.8581224031827,3.3892684052135724,0.0,0.0
815,147.15,11.89652,0.0,2,1.750572851677459,513.6086952548601,3.3892684052135724,0.0,0.0
816,151.803,14.112968,0.0,2,2.142390920275991,515.751086175136,3.3892684052135724,0.0,0.0
817,156.455,15.317881,0.0,2,2.396559058615184,518.1476452337512,3.3892684052135724,0.0,0.0
818,161.107,15.723083,0.0,2,2.5330986180866395,520.6807438518379,3.3892684052135724,0.0,0.0
819,165.76,22.1868,0.0,1,3.6776838479116276,524.3584276997495,3.3892684052135724,0.0,0.0
820,169.03,20.398132,0.0,1,3.4478962129196815,527.8063239126692,3.3892684052135724,0.0,0.0
821,172.3,21.490835,0.0,1,3.7028708141148354,531.509194726784,3.3892684052135724,0.0,0.0
822,175.57,24.750921,0.0,1,4.3455191589953985,535.8547138857795,3.3892684052135724,0.0,0.0
823,178.84,29.843632,0.0,1,5.337235121321682,541.1919490071011,3.3892684052135724,0.0,0.0
824,182.095,25.006145,0.0,1,4.553493960305661,545.7454429674068,3.3892684052135724,0.0,0.0
825,185.35,25.635654,0.0,1,4.751568672224661,550.4970116396314,3.3892684052135724,0.0,0.0
826,188.605,20.574364,0.0,1,3.8804279343813075,554.3774395740127,3.3892684052135724,0.0,0.0
827,191.86,10.611196,0.0,2,2.0358640620018913,556.4133036360146,3.3892684052135724,0.0,0.0
828,194.298,6.6226435,0.0,2,1.2867663373939067,557.7000699734085,3.3892684052135724,0.0,0.0
829,196.735,3.805185,0.0,2,0.7486130687244917,558.448683042133,3.3892684052135724,0.0,0.0
830,199.173,2.0240343,0.0,2,0.403132972591364,558.8518160147244,3.3892684052135724,0.0,0.0
900,171.812,0.22152402,0.0,2,0.03806048504519622,558.8898764997696,3.3892684052135724,0.0,0.0
901,168.295,2.4367642,0.0,2,0.4100952357081825,559.2999717354777,3.3892684052135724,0.0,0.0
902,164.778,3.5443842,0.0,2,0.5840365613370281,559.8840082968147,3.3892684052135724,0.0,0.0
903,161.26,5.3165765,0.0,2,0.8573511258894615,560.7413594227041,3.3892684052135724,0.0,0.0
904,158.153,4.4304805,0.0,2,0.7006937689280047,561.4420531916321,3.3892684052135724,0.0,0.0
905,155.045,5.7596245,0.0,2,0.893000986541357,562.3350541781734,3.3892684052135724,0.0,0.0
906,151.938,8.4179125,0.0,2,1.2790008329935443,563.614055011167,3.3892684052135724,0.0,0.0
907,148.83,7.974865,0.0,2,1.1868991200495653,564.8009541312166,3.3892684052135724,0.0,0.0
908,148.38,9.626172,0.0,2,1.428331371797767,566.2292855030144,3.3892684052135724,0.0,0.0
